onset	duration	trial_type	value	sample
4.056	4.5	right_hand	2	4056
11.105	4.5	left_hand	1	11105
18.158	4.5	right_hand	2	18158
25.206	4.5	left_hand	1	25206
32.255	4.5	left_hand	1	32255
39.301	4.5	right_hand	2	39301
46.355	4.5	right_hand	2	46355
53.402	4.5	left_hand	1	53402
60.452	4.5	right_hand	2	60452
67.504	4.5	left_hand	1	67504
74.553	4.5	right_hand	2	74553
81.601	4.5	left_hand	1	81601
88.653	4.5	right_hand	2	88653
95.701	4.5	left_hand	1	95701
102.753	4.5	right_hand	2	102753
109.805	4.5	left_hand	1	109805
116.855	4.5	left_hand	1	116855
123.902	4.5	right_hand	2	123902
130.95	4.5	left_hand	1	130950
138.002	4.5	right_hand	2	138002
145.051	4.5	left_hand	1	145051
152.102	4.5	right_hand	2	152102
159.151	4.5	right_hand	2	159151
166.202	4.5	left_hand	1	166202
204.235	4.5	right_hand	2	204235
211.275	4.5	left_hand	1	211275
218.328	4.5	left_hand	1	218328
225.378	4.5	right_hand	2	225378
232.426	4.5	left_hand	1	232426
239.476	4.5	right_hand	2	239476
246.527	4.5	left_hand	1	246527
253.575	4.5	right_hand	2	253575
260.625	4.5	left_hand	1	260625
267.675	4.5	right_hand	2	267675
274.725	4.5	right_hand	2	274725
281.776	4.5	left_hand	1	281776
288.824	4.5	right_hand	2	288824
295.875	4.5	left_hand	1	295875
302.926	4.5	left_hand	1	302926
309.976	4.5	right_hand	2	309976
317.026	4.5	right_hand	2	317026
324.077	4.5	left_hand	1	324077
331.124	4.5	left_hand	1	331124
338.175	4.5	right_hand	2	338175
345.226	4.5	right_hand	2	345226
352.271	4.5	left_hand	1	352271
359.324	4.5	right_hand	2	359324
366.374	4.5	left_hand	1	366374
384.03	4.5	right_hand	2	384030
391.077	4.5	left_hand	1	391077
398.13	4.5	right_hand	2	398130
405.181	4.5	left_hand	1	405181
412.23	4.5	right_hand	2	412230
419.28	4.5	left_hand	1	419280
426.328	4.5	left_hand	1	426328
433.379	4.5	right_hand	2	433379
440.428	4.5	right_hand	2	440428
447.481	4.5	left_hand	1	447481
454.527	4.5	left_hand	1	454527
461.578	4.5	right_hand	2	461578
468.63	4.5	right_hand	2	468630
475.678	4.5	left_hand	1	475678
482.725	4.5	right_hand	2	482725
489.779	4.5	left_hand	1	489779
496.827	4.5	right_hand	2	496827
503.877	4.5	left_hand	1	503877
510.926	4.5	left_hand	1	510926
517.976	4.5	right_hand	2	517976
525.026	4.5	left_hand	1	525026
532.078	4.5	right_hand	2	532078
539.126	4.5	left_hand	1	539126
546.176	4.5	right_hand	2	546176
