onset	duration	trial_type	value	sample
4.072	4.5	right_hand	2	4072
11.128	4.5	left_hand	1	11128
18.176	4.5	left_hand	1	18176
25.229	4.5	right_hand	2	25229
32.277	4.5	right_hand	2	32277
39.328	4.5	left_hand	1	39328
46.378	4.5	right_hand	2	46378
53.429	4.5	left_hand	1	53429
60.477	4.5	left_hand	1	60477
67.529	4.5	right_hand	2	67529
74.575	4.5	left_hand	1	74575
81.626	4.5	right_hand	2	81626
88.676	4.5	right_hand	2	88676
95.725	4.5	left_hand	1	95725
102.776	4.5	left_hand	1	102776
109.827	4.5	right_hand	2	109827
116.877	4.5	left_hand	1	116877
123.924	4.5	right_hand	2	123924
130.974	4.5	left_hand	1	130974
138.025	4.5	right_hand	2	138025
145.076	4.5	left_hand	1	145076
152.123	4.5	right_hand	2	152123
159.172	4.5	left_hand	1	159172
166.226	4.5	right_hand	2	166226
208.642	4.5	right_hand	2	208642
215.682	4.5	left_hand	1	215682
222.729	4.5	right_hand	2	222729
229.781	4.5	left_hand	1	229781
236.833	4.5	left_hand	1	236833
243.88	4.5	right_hand	2	243880
250.931	4.5	left_hand	1	250931
257.98	4.5	right_hand	2	257980
265.03	4.5	left_hand	1	265030
272.08	4.5	right_hand	2	272080
279.129	4.5	left_hand	1	279129
286.179	4.5	right_hand	2	286179
293.228	4.5	left_hand	1	293228
300.277	4.5	right_hand	2	300277
307.329	4.5	right_hand	2	307329
314.378	4.5	left_hand	1	314378
321.428	4.5	left_hand	1	321428
328.481	4.5	right_hand	2	328481
335.527	4.5	right_hand	2	335527
342.578	4.5	left_hand	1	342578
349.629	4.5	right_hand	2	349629
356.677	4.5	left_hand	1	356677
363.727	4.5	right_hand	2	363727
370.778	4.5	left_hand	1	370778
392.844	4.5	right_hand	2	392844
399.898	4.5	left_hand	1	399898
406.948	4.5	right_hand	2	406948
413.998	4.5	left_hand	1	413998
421.046	4.5	right_hand	2	421046
428.097	4.5	left_hand	1	428097
435.146	4.5	right_hand	2	435146
442.195	4.5	left_hand	1	442195
449.247	4.5	left_hand	1	449247
456.296	4.5	right_hand	2	456296
463.344	4.5	left_hand	1	463344
470.396	4.5	right_hand	2	470396
477.446	4.5	left_hand	1	477446
484.496	4.5	right_hand	2	484496
491.545	4.5	right_hand	2	491545
498.596	4.5	left_hand	1	498596
505.644	4.5	right_hand	2	505644
512.694	4.5	left_hand	1	512694
519.742	4.5	left_hand	1	519742
526.794	4.5	right_hand	2	526794
533.845	4.5	left_hand	1	533845
540.894	4.5	right_hand	2	540894
547.945	4.5	right_hand	2	547945
554.996	4.5	left_hand	1	554996
