onset	duration	trial_type	value	sample
1.0	4.5	left_hand	1	1000
8.069	4.5	right_hand	2	8069
15.137	4.5	left_hand	1	15137
22.186	4.5	right_hand	2	22186
198.164	4.5	right_hand	2	198164
205.23	4.5	left_hand	1	205230
212.278	4.5	left_hand	1	212278
219.327	4.5	right_hand	2	219327
359.53	4.5	right_hand	2	359530
366.598	4.5	left_hand	1	366598
373.667	4.5	right_hand	2	373667
380.726	4.5	left_hand	1	380726
512.504	4.5	left_hand	1	512504
519.572	4.5	right_hand	2	519572
526.64	4.5	left_hand	1	526640
533.699	4.5	right_hand	2	533699
708.699	4.5	right_hand	2	708699
715.767	4.5	left_hand	1	715767
722.827	4.5	right_hand	2	722827
729.895	4.5	left_hand	1	729895
831.905	4.5	right_hand	2	831905
838.954	4.5	left_hand	1	838954
846.013	4.5	left_hand	1	846013
853.081	4.5	right_hand	2	853081
987.836	4.5	left_hand	1	987836
994.904	4.5	right_hand	2	994904
1001.951	4.5	left_hand	1	1001951
1009.009	4.5	right_hand	2	1009009
1299.484	4.5	left_hand	1	1299484
1306.539	4.5	right_hand	2	1306539
1313.589	4.5	right_hand	2	1313589
1320.627	4.5	left_hand	1	1320627
1521.262	4.5	right_hand	2	1521262
1528.312	4.5	left_hand	1	1528312
1535.38	4.5	right_hand	2	1535380
1542.427	4.5	left_hand	1	1542427
1558.205	4.5	left_hand	1	1558205
1565.272	4.5	right_hand	2	1565272
1572.332	4.5	right_hand	2	1572332
1579.391	4.5	left_hand	1	1579391
1773.556	4.5	left_hand	1	1773556
1780.625	4.5	right_hand	2	1780625
1787.672	4.5	left_hand	1	1787672
1794.722	4.5	right_hand	2	1794722
1960.11	4.5	right_hand	2	1960110
1967.177	4.5	left_hand	1	1967177
1974.225	4.5	right_hand	2	1974225
1981.265	4.5	left_hand	1	1981265
2157.063	4.5	left_hand	1	2157063
2164.11	4.5	right_hand	2	2164110
2171.179	4.5	right_hand	2	2171179
2178.228	4.5	left_hand	1	2178228
2430.113	4.5	right_hand	2	2430113
2437.182	4.5	left_hand	1	2437182
2444.25	4.5	left_hand	1	2444250
2451.307	4.5	right_hand	2	2451307
2560.54	4.5	right_hand	2	2560540
2567.592	4.5	left_hand	1	2567592
2574.639	4.5	left_hand	1	2574639
2581.708	4.5	right_hand	2	2581708
2833.185	4.5	right_hand	2	2833185
2840.235	4.5	left_hand	1	2840235
2847.303	4.5	right_hand	2	2847303
2854.372	4.5	left_hand	1	2854372
3053.692	4.5	right_hand	2	3053692
3060.746	4.5	left_hand	1	3060746
3067.795	4.5	left_hand	1	3067795
3074.863	4.5	right_hand	2	3074863
3164.97	4.5	left_hand	1	3164970
3172.013	4.5	right_hand	2	3172013
3179.061	4.5	left_hand	1	3179061
3186.111	4.5	right_hand	2	3186111
